Company,CurrentStockCount,CurrentStockAskingValue,MedianCurrentAskingPrice,MedianPublicListingAgeDays,P75PublicListingAgeDays,FreshStockCount,NormalStockCount,AboveTypicalAgeCount,AgedStockCount,VeryAgedStockCount,LowPricePositionCount,MidMarketPriceCount,HighPricePositionCount,InsufficientPriceComparisonCount,WatchStockCount,AttentionStockCount,HighAttentionStockCount,DistinctBrands,DistinctModels,HistoricalDistinctListings,HistoricalObservedMarketExits,HistoricalMedianObservedDaysToExit,HistoricalPriceReductionEligibleListings,HistoricalPriceReductionListings,HistoricalPriceReductionRate,PublicListingAgeDefinition,HistoricalExitDefinition
Tamay Çelik Motors,17,816000.0,42000.0,96.0,180.0,0,1,3,5,5,1,1,6,2,2,5,6,6,14,64,46,37.5,50,7,0.14,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Vis Motors Trading Ltd,17,389500.0,19000.0,260.0,260.0,0,0,0,0,17,1,6,3,2,0,14,3,8,12,33,16,46.5,12,7,0.5833333333333334,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Bernstein Cars & Boats Company,16,362476.0,16500.0,143.0,151.0,0,0,0,0,4,1,0,3,12,0,1,3,5,7,21,2,12.5,21,3,0.14285714285714285,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Car-Dan Auto Gallery,16,229700.0,13625.0,54.5,81.25,2,1,6,2,3,6,2,1,2,6,4,1,11,13,44,28,41.0,42,9,0.21428571428571427,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
DRS MOTORS,16,243750.0,13575.0,16.0,63.25,7,3,1,1,4,9,3,1,0,7,5,0,9,13,88,72,33.0,73,15,0.2054794520547945,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Gökhan Çelik Auto,16,172400.0,10700.0,41.0,54.75,4,3,4,1,3,7,1,0,3,4,4,0,10,13,110,94,18.0,100,11,0.11,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Hadduroğlu Automotive,16,155750.0,6375.0,79.0,110.0,2,3,3,1,7,3,2,2,2,6,6,2,9,14,261,243,19.0,208,32,0.15384615384615385,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kaya Motors,16,213900.0,14250.0,85.0,85.0,1,0,7,3,5,6,2,0,2,8,8,0,9,15,54,20,28.0,54,10,0.18518518518518517,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
LINK CARS,16,473000.0,23500.0,260.0,260.0,0,0,0,2,11,3,2,2,4,0,11,2,8,14,24,8,81.0,8,7,0.875,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
NURKAM AUTO GALERI,16,266160.0,18990.0,110.5,133.25,2,0,2,0,10,3,0,3,2,1,11,1,7,16,75,57,32.0,57,11,0.19298245614035087,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
