Company,CurrentStockCount,CurrentStockAskingValue,MedianCurrentAskingPrice,MedianPublicListingAgeDays,P75PublicListingAgeDays,FreshStockCount,NormalStockCount,AboveTypicalAgeCount,AgedStockCount,VeryAgedStockCount,LowPricePositionCount,MidMarketPriceCount,HighPricePositionCount,InsufficientPriceComparisonCount,WatchStockCount,AttentionStockCount,HighAttentionStockCount,DistinctBrands,DistinctModels,HistoricalDistinctListings,HistoricalObservedMarketExits,HistoricalMedianObservedDaysToExit,HistoricalPriceReductionEligibleListings,HistoricalPriceReductionListings,HistoricalPriceReductionRate,PublicListingAgeDefinition,HistoricalExitDefinition
SSC Auto Ltd.,9,841000.0,78000.0,32.0,112.0,4,1,1,0,1,1,1,0,7,1,1,0,2,6,29,19,76.0,25,2,0.08,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ATOLL AUTO LTD,8,182898.0,26749.5,35.0,44.0,2,2,4,0,0,2,1,1,1,4,1,0,6,7,11,3,12.0,11,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Ali Akın Oto Galeri,8,112500.0,6750.0,15.0,15.0,1,6,0,0,0,0,0,5,1,1,2,0,7,7,8,0,,8,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Fırat Prestige Auto,8,180000.0,16500.0,260.0,260.0,0,0,0,0,8,0,0,8,0,0,0,8,4,7,8,0,,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Genx Autoparts,8,176490.0,16200.0,260.0,260.0,0,0,0,0,6,0,1,4,2,1,3,3,5,6,9,1,139.0,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Muslu Motors,8,219900.0,24750.0,107.0,184.25,0,2,2,0,4,1,0,3,3,2,6,0,5,8,28,20,47.0,16,5,0.3125,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
TESME OTOMOTİV,8,286200.0,31450.0,153.5,154.0,0,0,0,2,4,2,1,2,2,0,3,3,6,7,10,2,11.5,10,1,0.1,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Talya & Taner Otomotiv LTD,8,169500.0,20250.0,88.5,107.5,2,1,1,0,4,1,0,2,0,2,3,1,5,7,39,30,36.5,31,9,0.2903225806451613,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Veneris Auto,8,210100.0,27400.0,29.0,160.0,2,2,0,0,3,4,1,1,1,0,3,0,7,8,21,13,37.0,19,5,0.2631578947368421,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Özlü Motors,8,73750.0,8000.0,111.0,111.0,1,2,0,0,5,2,1,4,0,0,1,4,5,8,46,38,26.0,40,1,0.025,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ALPIMEX TRADING LTD.,7,107890.0,12000.0,260.0,260.0,0,0,0,0,7,4,1,1,0,0,6,1,5,6,13,4,127.0,2,2,1.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
AS-DEN OTO LTD,7,169000.0,25000.0,85.0,202.5,0,0,2,1,4,1,4,1,0,2,3,2,5,7,17,10,37.0,13,3,0.23076923076923078,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Açıkal Motors,7,163497.0,23000.0,144.0,179.0,0,0,0,0,6,3,2,0,1,0,6,0,4,6,9,1,116.0,7,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Erbaa Motors Ltd,7,117800.0,13900.0,137.0,240.0,0,0,1,1,4,2,0,0,1,1,5,0,4,6,13,6,87.0,8,4,0.5,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Eren Motors,7,156930.0,14990.0,160.0,174.0,3,0,0,0,4,1,2,1,0,1,3,1,7,7,16,9,94.0,11,4,0.36363636363636365,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Gökhan Helvacı Motors,7,113000.0,13500.0,132.0,191.5,0,0,0,0,7,5,2,0,0,0,7,0,3,5,103,81,3.0,103,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Okanar Automotive,7,109730.0,14500.0,25.0,180.5,1,1,2,0,3,0,0,2,0,1,5,0,4,5,14,7,71.0,12,3,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Paddock Automobile,7,158000.0,23000.0,20.0,190.0,0,4,0,0,3,4,0,2,0,2,2,1,2,4,25,18,42.5,23,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Teker Oto,7,122000.0,19000.0,50.0,141.0,1,0,4,0,2,2,2,1,1,4,2,0,5,7,31,21,62.0,18,4,0.2222222222222222,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Turgay Ersalıcı Oto Galeri,7,224500.0,22000.0,183.0,183.0,0,0,0,0,7,1,2,2,1,0,5,2,5,7,33,25,40.0,33,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Özsusuzlu Car Sales,7,248900.0,41000.0,67.0,161.0,0,1,1,0,1,0,0,1,3,1,1,0,5,7,27,20,49.5,18,1,0.05555555555555555,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Akkaya Motors,6,65900.0,10975.0,183.0,240.75,0,0,0,0,4,2,0,1,1,0,3,1,6,6,22,16,80.0,11,1,0.09090909090909091,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Aquasun Motors,6,247100.0,42000.0,260.0,260.0,0,0,0,0,5,0,2,2,1,0,3,2,5,6,10,4,38.5,3,1,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
BAYHAN AUTOS,6,50900.0,6500.0,37.0,37.0,1,1,4,0,0,1,1,0,2,5,0,0,5,6,33,27,22.0,25,9,0.36,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
BS Motors,6,152230.0,28995.0,29.0,29.0,0,5,1,0,0,1,1,2,0,3,1,0,3,4,12,6,76.5,8,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Bravo cars,6,367799.0,57949.5,30.0,34.0,1,2,3,0,0,2,0,0,0,4,0,0,3,6,14,8,7.5,13,2,0.15384615384615385,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Car Guru Motors,6,207400.0,16000.0,70.0,149.5,2,0,0,2,2,0,1,0,0,0,4,0,5,6,11,3,76.0,7,2,0.2857142857142857,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Carlot Auto,6,116100.0,14700.0,260.0,260.0,0,0,0,0,6,1,1,3,0,0,3,3,5,6,17,11,124.0,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Dolular Oto Galeri,6,213500.0,14750.0,161.0,161.0,0,0,0,0,5,0,1,1,1,0,4,1,5,6,24,18,9.0,23,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ENVER SOYCAN OTOMOTİV,6,48600.0,5850.0,29.5,44.0,2,1,1,1,0,1,0,0,3,2,0,1,5,6,20,14,27.5,18,4,0.2222222222222222,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Garage Auto Gallery,6,40400.0,6000.0,21.0,21.75,3,2,1,0,0,0,0,2,2,2,1,0,5,6,16,10,25.5,15,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Genç Motors,6,96500.0,5250.0,187.5,237.0,0,0,1,0,3,0,0,3,2,0,2,2,6,6,23,17,124.0,22,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
H.BULLICI TRADING LTD,6,70500.0,11000.0,117.0,228.0,1,0,2,0,1,1,1,0,4,3,1,0,4,6,21,11,71.0,12,8,0.6666666666666666,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Han~Öz Motors,6,195500.0,34400.0,15.0,171.0,2,2,0,0,1,3,0,3,0,2,1,1,3,6,17,11,174.0,12,1,0.08333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Hulk Automotive,6,132300.0,15500.0,55.0,55.0,0,1,3,0,0,1,1,2,2,3,0,0,5,6,12,6,53.0,12,4,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
KAĞAN DAYI AUTO,6,65900.0,7900.0,42.5,54.5,1,2,0,1,2,2,0,1,2,0,3,0,3,5,12,6,24.5,12,3,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kerberos Cars,6,107200.0,15700.0,35.5,107.0,1,1,1,0,2,3,0,0,1,1,2,0,5,5,18,12,45.0,14,2,0.14285714285714285,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kıbrıs Restorasyon,6,159150.0,23450.0,145.0,199.0,0,0,2,0,4,1,0,2,1,2,3,1,4,5,18,12,49.0,15,8,0.5333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Mehmet Türkoğlu,6,168877.0,18999.0,87.5,136.5,1,0,2,0,3,4,1,1,0,3,3,0,5,6,36,29,26.0,35,10,0.2857142857142857,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
POY AUTO,6,64050.0,10250.0,58.0,58.0,1,1,0,1,1,0,0,0,4,0,2,0,6,6,6,0,,6,3,0.5,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ÇELİK MOTORS,6,128250.0,24000.0,40.0,52.0,1,1,2,1,1,2,2,0,1,2,2,0,3,4,41,35,39.0,26,5,0.19230769230769232,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
A. Üçöz Motors,5,91000.0,14500.0,127.0,260.0,1,0,0,0,4,0,1,0,1,1,4,0,4,5,155,150,90.0,134,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Akrep & Vaizoğlu Oto Galeri,5,55000.0,9750.0,260.0,260.0,0,1,0,0,4,1,1,1,0,0,3,1,4,5,13,8,69.0,4,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Boldline Car,5,86200.0,9500.0,41.0,42.0,1,2,2,0,0,1,1,0,0,3,0,0,5,5,32,27,22.0,31,9,0.2903225806451613,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CAR2GO AUTO,5,51300.0,9900.0,67.0,180.0,0,0,0,1,4,1,2,1,0,0,4,1,5,5,18,13,50.0,18,1,0.05555555555555555,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CARPLUS MOTORS,5,37990.0,6500.0,139.0,259.0,0,0,1,0,1,0,0,1,3,1,1,0,4,5,21,15,23.0,14,5,0.35714285714285715,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
CarGet Exclusive,5,227500.0,20000.0,55.0,94.0,2,0,0,2,1,3,0,0,0,0,3,0,4,5,23,18,20.0,19,3,0.15789473684210525,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Cyprus Vip Auto,5,190800.0,21500.0,93.0,260.0,0,0,1,0,3,1,2,1,1,1,2,1,5,5,12,7,109.0,7,2,0.2857142857142857,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Dream Circle Cars,5,94500.0,15000.0,260.0,260.0,0,0,0,0,5,0,2,2,0,0,3,2,4,5,12,7,174.0,5,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
E-Mission: Electrified Cars,5,93000.0,16500.0,116.0,127.0,1,1,0,0,1,2,0,1,1,2,1,0,4,5,13,8,56.0,11,3,0.2727272727272727,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
EVAS,5,66640.0,12900.0,132.0,260.0,0,0,1,0,3,2,1,1,0,1,2,1,3,4,14,8,14.5,8,2,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Efe Altun,5,35000.0,6250.0,7.0,7.0,4,0,0,0,0,1,0,0,1,3,0,0,4,4,29,24,16.0,29,10,0.3448275862068966,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
FARZ GROUP OF COMPANIES,5,195000.0,40000.0,122.0,131.0,0,0,0,0,1,1,0,0,4,0,1,0,5,5,15,10,113.0,15,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
GALLER AUTO,5,96900.0,19900.0,50.0,134.0,0,2,0,1,1,0,1,0,1,0,2,0,4,5,26,21,43.0,23,1,0.043478260869565216,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Hermes Cars,5,262600.0,28000.0,260.0,260.0,0,0,0,0,3,2,1,2,0,0,1,2,5,5,7,2,72.0,2,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kombos Otomotiv | Jeep,5,194400.0,50800.0,260.0,260.0,0,0,2,0,3,1,0,0,1,2,3,0,1,2,16,11,79.0,8,1,0.125,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Koç Brothers Motors,5,60240.0,8500.0,260.0,260.0,0,0,0,0,5,2,0,1,1,0,4,1,5,5,14,9,15.0,3,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
LUXURY 27 AUTOMOTİVE,5,146500.0,32500.0,25.0,26.0,2,1,1,0,1,1,0,3,0,2,2,1,4,5,121,116,19.0,94,19,0.20212765957446807,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Omurtak İşletmeleri LTD.,5,56900.0,9000.0,207.0,257.0,0,0,0,0,4,0,0,2,1,0,2,2,5,5,8,0,,7,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Ori Oto Galeri,5,86150.0,14500.0,56.0,62.0,1,0,3,1,0,3,2,0,0,3,1,0,4,5,8,3,55.0,7,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
UMT Auto Car,5,68850.0,14500.0,117.0,260.0,0,0,0,1,4,1,1,0,0,0,5,0,4,5,9,4,143.0,4,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Viano Oto Galeri,5,67700.0,16000.0,260.0,260.0,0,0,0,0,3,2,0,1,1,0,2,1,3,5,8,3,23.0,3,2,0.6666666666666666,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ÖZKARAMAN TRADING LTD,5,108800.0,22000.0,44.0,44.0,0,2,2,1,0,2,0,0,1,4,1,0,2,3,6,1,3.0,6,2,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
İcon Motors,5,223900.0,49500.0,81.0,119.0,1,0,2,1,0,0,0,0,1,2,1,0,3,4,36,31,21.0,29,15,0.5172413793103449,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Carshop,4,63500.0,14750.0,220.0,260.0,0,0,0,0,4,1,0,1,0,0,3,1,4,4,10,6,80.0,4,1,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Erdura Auto Zone,4,67500.0,18750.0,53.5,131.0,0,2,0,0,2,2,0,0,0,1,2,0,3,4,12,8,71.5,8,2,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Fatih,4,133499.0,28000.0,26.5,56.75,1,1,0,0,1,0,0,2,2,0,2,0,4,4,9,5,26.0,8,5,0.625,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
GAZİ S. OTO GALERİ,4,36950.0,8250.0,260.0,260.0,0,0,0,0,4,1,1,2,0,0,2,2,3,4,11,7,20.0,4,1,0.25,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Görkem Auto,4,69200.0,17900.0,260.0,260.0,0,0,0,0,3,0,0,2,2,0,1,2,3,4,8,4,79.0,0,0,,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Kaan Motors,4,28900.0,5450.0,39.0,109.25,0,0,1,0,1,1,1,0,1,1,1,0,3,4,16,12,30.0,9,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
M 2 OTO GALERİ,4,99000.0,27000.0,136.5,183.75,0,0,1,0,2,2,0,0,1,1,2,0,4,4,17,13,26.0,15,5,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Mebel Oto Galeri,4,92499.0,22750.0,161.5,202.25,1,0,0,0,3,0,0,1,2,0,2,1,3,4,18,14,62.5,13,1,0.07692307692307693,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Muhammed KANDEMİR,4,74949.0,11349.5,5.0,27.0,3,0,1,0,0,3,0,1,0,2,0,0,4,4,147,143,11.0,141,62,0.4397163120567376,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
SADETOĞLU CARS,4,40470.0,9790.0,62.0,96.25,1,0,1,0,0,1,0,0,2,1,0,0,3,4,8,4,43.0,8,7,0.875,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
SANNAS,4,97300.0,24000.0,44.0,64.25,0,0,3,0,1,1,1,1,0,2,2,0,4,4,7,3,3.0,6,2,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
SAR-SE AUTO,4,40500.0,11000.0,146.0,174.5,0,0,0,1,3,2,0,1,0,0,3,1,4,4,4,0,,3,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Sporcuoğlu Auto Gallery,4,66500.0,14500.0,116.0,192.5,0,0,0,0,4,1,0,2,0,0,2,2,3,4,42,36,114.5,26,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
TORA MOTORS,4,46000.0,9750.0,111.0,111.0,0,0,0,1,3,1,0,1,0,0,2,2,4,4,4,0,,4,2,0.5,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
AirMax Auto,3,69000.0,16500.0,180.0,180.5,0,0,1,0,1,1,0,1,0,0,2,0,2,3,5,2,102.5,5,2,0.4,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Alsancak Otomotiv,3,78899.0,23900.0,27.0,47.0,1,0,2,0,0,0,0,2,0,1,1,0,3,3,7,4,5.0,7,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Carland,3,33000.0,6500.0,119.0,122.5,0,0,0,0,2,0,0,1,1,0,1,1,3,3,17,12,39.0,11,5,0.45454545454545453,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Crystal Autos,3,43350.0,18500.0,192.0,192.0,0,0,0,0,3,1,0,1,1,0,2,1,3,3,4,1,46.0,4,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Diril Motors,3,75400.0,24500.0,55.0,85.0,1,1,0,0,1,1,0,0,0,2,1,0,2,3,3,0,,3,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Gürdağ Motors,3,38750.0,5000.0,29.0,32.5,0,2,0,0,0,2,0,0,1,0,0,0,2,3,11,8,25.0,11,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
HAPPY CARS,3,100800.0,26000.0,137.0,189.5,0,1,1,0,0,1,0,0,1,2,0,0,2,3,25,22,56.5,18,5,0.2777777777777778,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Hikmetoğlu Motors Ltd,3,40750.0,11500.0,17.0,52.5,0,2,0,0,1,3,0,0,0,2,1,0,3,3,24,21,12.0,19,1,0.05263157894736842,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
KIRANOĞLU - Automotive & Tractors,3,38500.0,13000.0,84.0,99.0,1,0,0,0,1,0,0,1,1,0,1,0,3,3,3,0,,3,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
KKTC AUTO GARAGE,3,33400.0,12250.0,17.0,23.5,1,1,1,0,0,0,2,0,0,1,0,0,2,3,20,17,61.0,17,3,0.17647058823529413,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
KOMUTAN OTO GALERİ,3,93900.0,23900.0,258.0,258.0,0,0,0,0,3,2,0,1,0,0,2,1,2,3,168,165,28.0,156,19,0.12179487179487179,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
MD Auto,3,50500.0,16500.0,40.0,40.0,0,0,3,0,0,2,0,0,1,3,0,0,1,1,4,1,3.0,4,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Mutlu Halıcı Auto Galeri,3,35500.0,6500.0,36.0,148.0,1,0,0,1,1,0,0,1,1,0,2,1,3,3,7,4,47.0,6,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Qcarz,3,92000.0,32000.0,1.0,10.0,3,0,0,0,0,2,0,0,0,1,0,0,3,3,31,27,29.0,27,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Savalan Motors,3,176200.0,27500.0,69.0,69.0,0,0,0,0,2,1,0,1,1,0,1,1,3,3,14,11,15.0,13,1,0.07692307692307693,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Smart Autos,3,76500.0,23500.0,192.0,192.0,0,0,0,0,3,0,0,2,0,0,1,2,3,3,30,27,174.0,30,0,0.0,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Şeker Auto's,3,26500.0,8000.0,170.0,215.0,0,1,0,1,1,0,1,2,0,0,1,1,3,3,25,22,73.0,17,5,0.29411764705882354,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
ADEL OTO GALERİ,2,18000.0,9000.0,57.0,57.0,0,0,0,0,1,0,0,0,1,0,1,0,2,2,6,4,50.0,6,2,0.3333333333333333,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
Adventure Oto Galeri,2,30500.0,15250.0,60.5,69.75,0,1,0,0,0,0,0,1,1,0,0,0,2,2,24,22,35.0,20,4,0.2,DAYS_SINCE_FIRST_OBSERVED_ADVERTISED,OBSERVED_MARKET_EXIT_NOT_CONFIRMED_SALE
